,date,hour,tempC,windspeedKmph,winddirDegree,humidity,pressure,cloudcover,precipMM,uvIndex,DewPointC
0,2017-01-01,0.0,3,5,49,62,1020,10,0.0,1,-4
1,2017-01-01,1.0,3,4,47,64,1019,13,0.0,1,-3
2,2017-01-01,2.0,3,4,45,65,1019,16,0.0,1,-3
3,2017-01-01,3.0,3,3,43,67,1018,19,0.0,1,-3
4,2017-01-01,4.0,3,3,46,69,1018,23,0.0,1,-3
5,2017-01-01,5.0,2,4,49,71,1018,27,0.0,1,-2
6,2017-01-01,6.0,2,4,52,73,1018,31,0.0,2,-2
7,2017-01-01,7.0,5,3,75,70,1018,30,0.0,3,0
8,2017-01-01,8.0,8,2,98,67,1018,29,0.1,2,3
9,2017-01-01,9.0,11,0,121,65,1018,28,0.1,3,5
10,2017-01-01,10.0,12,1,105,62,1017,26,0.0,3,5
11,2017-01-01,11.0,13,2,89,59,1016,24,0.0,4,5
12,2017-01-01,12.0,14,3,73,56,1016,22,0.0,4,5
13,2017-01-01,13.0,14,2,72,56,1015,20,0.0,4,5
14,2017-01-01,14.0,14,2,72,55,1015,19,0.0,4,5
15,2017-01-01,15.0,14,1,71,55,1015,18,0.0,4,5
16,2017-01-01,16.0,11,3,59,56,1015,28,0.0,4,3
17,2017-01-01,17.0,8,4,48,58,1016,38,0.0,3,0
18,2017-01-01,18.0,5,5,36,59,1016,48,0.0,1,-2
19,2017-01-01,19.0,5,5,40,60,1016,47,0.0,1,-3
20,2017-01-01,20.0,4,4,43,61,1016,46,0.0,1,-3
21,2017-01-01,21.0,4,4,46,62,1016,45,0.0,1,-3
22,2017-01-01,22.0,4,4,41,64,1016,33,0.0,1,-3
23,2017-01-01,23.0,4,4,36,66,1016,21,0.0,1,-2
24,2017-01-02,0.0,4,4,31,68,1016,9,0.0,1,-2
25,2017-01-02,1.0,3,4,140,68,1016,8,0.0,1,-2
26,2017-01-02,2.0,2,5,248,69,1016,7,0.0,1,-3
27,2017-01-02,3.0,2,5,357,69,1016,7,0.0,1,-3
28,2017-01-02,4.0,1,6,354,68,1016,7,0.0,1,-4
29,2017-01-02,5.0,0,6,350,67,1017,8,0.0,1,-5
30,2017-01-02,6.0,-0,6,347,65,1017,8,0.0,2,-6
31,2017-01-02,7.0,3,8,335,59,1017,8,0.0,2,-5
32,2017-01-02,8.0,6,10,323,52,1018,7,0.0,3,-3
33,2017-01-02,9.0,9,12,311,46,1018,7,0.0,3,-2
34,2017-01-02,10.0,10,13,308,41,1018,4,0.0,3,-3
35,2017-01-02,11.0,10,14,305,35,1018,2,0.0,4,-5
36,2017-01-02,12.0,11,15,303,30,1018,0,0.0,4,-6
37,2017-01-02,13.0,10,16,305,31,1018,1,0.0,4,-6
38,2017-01-02,14.0,10,17,308,32,1018,2,0.0,4,-6
39,2017-01-02,15.0,10,18,311,32,1017,3,0.0,3,-6
40,2017-01-02,16.0,7,15,325,32,1018,3,0.0,3,-9
41,2017-01-02,17.0,3,12,339,31,1018,2,0.0,2,-12
42,2017-01-02,18.0,0,10,353,30,1018,2,0.0,1,-15
43,2017-01-02,19.0,0,9,348,31,1018,1,0.0,1,-14
44,2017-01-02,20.0,-0,9,343,32,1018,1,0.0,1,-13
45,2017-01-02,21.0,-0,8,338,33,1018,0,0.0,1,-12
46,2017-01-02,22.0,-1,8,336,33,1018,1,0.0,1,-13
