,date,hour,tempC,windspeedKmph,winddirDegree,humidity,pressure,cloudcover,precipMM,uvIndex,DewPointC
0,2018-01-01,0.0,5,3,95,30,1017,32,0.0,1,-11
1,2018-01-01,1.0,5,3,100,27,1017,23,0.0,1,-12
2,2018-01-01,2.0,5,3,105,24,1017,13,0.0,1,-13
3,2018-01-01,3.0,6,4,109,22,1017,4,0.0,1,-15
4,2018-01-01,4.0,6,3,109,23,1016,3,0.0,1,-14
5,2018-01-01,5.0,6,3,108,24,1016,3,0.0,1,-14
6,2018-01-01,6.0,5,3,108,25,1016,2,0.0,3,-13
7,2018-01-01,7.0,9,4,118,24,1016,2,0.0,3,-11
8,2018-01-01,8.0,12,5,129,24,1016,2,0.0,4,-8
9,2018-01-01,9.0,15,6,139,24,1016,2,0.0,4,-6
10,2018-01-01,10.0,15,6,142,23,1015,2,0.0,4,-6
11,2018-01-01,11.0,15,6,144,22,1014,3,0.0,4,-7
12,2018-01-01,12.0,15,6,146,21,1014,3,0.0,4,-7
13,2018-01-01,13.0,15,6,146,21,1013,4,0.0,4,-7
14,2018-01-01,14.0,15,6,145,22,1012,6,0.0,5,-7
15,2018-01-01,15.0,15,7,145,22,1011,8,0.0,5,-7
16,2018-01-01,16.0,12,7,145,23,1011,13,0.0,4,-8
17,2018-01-01,17.0,10,7,145,25,1011,19,0.0,3,-9
18,2018-01-01,18.0,7,6,146,27,1011,25,0.0,1,-11
19,2018-01-01,19.0,7,5,141,28,1011,25,0.0,1,-11
20,2018-01-01,20.0,6,4,136,29,1010,25,0.0,1,-11
21,2018-01-01,21.0,6,3,132,30,1010,24,0.0,1,-10
22,2018-01-01,22.0,6,3,133,31,1009,34,0.0,1,-10
23,2018-01-01,23.0,5,2,135,32,1009,44,0.0,1,-10
24,2018-01-02,0.0,5,1,136,34,1009,54,0.0,1,-10
25,2018-01-02,1.0,5,2,144,35,1009,68,0.0,1,-9
26,2018-01-02,2.0,5,3,151,36,1009,82,0.1,1,-9
27,2018-01-02,3.0,5,4,158,38,1008,96,0.1,1,-9
28,2018-01-02,4.0,4,3,125,40,1008,97,0.0,1,-8
29,2018-01-02,5.0,4,3,93,43,1008,99,0.1,1,-7
30,2018-01-02,6.0,4,3,61,46,1009,100,0.1,1,-7
31,2018-01-02,7.0,5,3,73,46,1009,100,0.1,2,-5
32,2018-01-02,8.0,7,4,85,47,1009,100,0.3,2,-4
33,2018-01-02,9.0,9,4,97,47,1009,100,0.4,2,-2
34,2018-01-02,10.0,9,4,172,47,1009,75,0.2,2,-2
35,2018-01-02,11.0,10,3,246,47,1009,49,0.2,2,-1
36,2018-01-02,12.0,10,2,320,47,1009,24,0.2,3,-1
37,2018-01-02,13.0,10,7,320,47,1008,20,0.1,2,-1
38,2018-01-02,14.0,9,12,319,47,1008,17,0.2,2,-1
39,2018-01-02,15.0,9,16,318,47,1008,14,0.3,2,-2
40,2018-01-02,16.0,9,15,313,46,1009,12,0.2,2,-3
41,2018-01-02,17.0,8,14,307,45,1009,11,0.0,3,-3
42,2018-01-02,18.0,7,13,302,44,1010,9,0.0,1,-4
43,2018-01-02,19.0,7,14,302,45,1010,8,0.0,1,-4
44,2018-01-02,20.0,7,15,301,47,1011,8,0.0,1,-4
45,2018-01-02,21.0,7,17,300,48,1011,7,0.0,1,-4
46,2018-01-02,22.0,6,15,297,50,1011,9,0.0,1,-4
47,2018-01-02,23.0,5,13,295,51,1012,11,0.0,1,-5
48,2018-01-03,0.0,4,12,292,53,1012,14,0.0,1,-5
49,2018-01-03,1.0,3,12,294,55,1012,19,0.0,1,-5
